day,distance,duration
13/07/20,11.11,30
14/07/20,11.65,30
15/07/20,12.5,30
17/07/20,12.93,30
18/07/20,12.47,30
23/07/20,6,15
25/07/20,12.86,30
29/07/20,13.01,30
01/08/20,15.56,45
02/08/20,16.87,45
05/08/20,11.43,30
18/08/20,17.37,45
21/08/20,18.22,45
29/08/20,18.96,45
31/08/20,19.05,45
06/09/20,19.41,45
09/09/20,17.9,45
12/09/20,19.17,45
21/09/20,19.02,45
27/09/20,20.46,45
29/09/20,18.99,45
01/10/20,20.04,45
08/10/20,19.09,45
11/10/20,19.53,45
16/10/20,20.28,45
